Unnamed: 0.1,Unnamed: 0,authors,aggregationType,Pages,publicationName,description,volume,title,subtypeDescription,citedby_count,PublishedDate
0,0,"Thomas Jiss Joseph,Venkataraman D",Book,379-389,Lecture Notes in Networks and Systems,"Taking care of ones mental health properly is very important as we are trying to get past the effects caused by the COVID pandemic era, especially since the rate of COVID spread is still persistent. Many organizations, universities, and schools are continuing an online mode of learning or working from home situation to tackle the spreading of the coronavirus. Due to these situations, the user could be using electronic gadgets like laptops for long hours, often without breaks in between. This has eventually affected their mental health. The ViDepBot, Video-Depression-Bot aims in helping the user to maintain their mental health by detecting their depression level early, and taking appropriate actions by faculty/counselors, parents, and friends to help them to come back to normalcy and maintaining a strong mental life. In this work, a system is proposed to determine the depression level from both the facial emotions and chat texts by the user. The FER2013 dataset is trained using deep learning architecture VGG-16 base model with additional layers which acquired an accuracy of around 87% for classifying the live face emotions. Since people tend to post their feelings and thoughts (when feeling down, depressed, or even happy) on social media such as Twitter, the sentiment140 twitter dataset was taken and trained using the machine learning algorithm Bayes theorem which acquired an accuracy of around 80% for classifying the user input texts. The user is monitored through a webcam and the emotions are recognized live. The ViDepBot regularly chats with the user and takes feedback on the mental condition of the user by analyzing the chat texts received. The emotions and chat texts help to find the depression level of the user. After determining the depression level, the ViDepBot framework provides ideal recommendations to improve the users mood. This ViDepBot can be further developed to keep track of each student/subject persons depression level, where they would be physically present in the classrooms, once the pandemic situation subsides.",572,ViDepBot: Assist People to Tackle Depression Due to COVID Using AI Techniques,Conference Paper,0,01-01-2023
1,1,"Thomas Jiss Joseph,Venkataraman D",Book,219-227,Lecture Notes in Networks and Systems,"The Coronavirus disease has affected the mental stability of the students since their academic learning has become completely online due to the stay-at-home order implemented over various states. In this work, a system that incorporates the determination of depression level from the facial emotions expressed by a student is proposed where he/she could be working in front of electronic gadgets like laptops for long hours, due to the lockdown situation. The FER2013 data is used to train the deep learning architecture, visual geometry group model with 16 layers (VGG-16) base model with some additional layers. The model has been used to classify the emotions and has acquired an accuracy of 87.76% on the FER2013 dataset. The emotions are then recognized live, monitoring the student through a Webcam. The multi-task cascade convolutional neural network (MTCNN) architecture has been used for detecting the face live. The depression level of the student is determined by calculating the depression coefficient. The dominant emotions in a depression state, the negative ones were captured quickly which helped in determining the depression level. Appropriate remedies are then suggested according to the depression level detected, to improve the students mood and also to maintain their mental stability. The calculation of the corresponding depression level in the student will help the faculty, counselor, parents, and friends to take necessary actions to bring the student back to his or her normal mental stage. The system could become more efficient when the activities of the student could be monitored and incorporated into the current system.",479,Depression Level Determination Using Deep Learning to Help Students in the COVID-19 Pandemic Situation,Conference Paper,0,01-01-2023
2,2,"Vijai Anupa,Padmavathi S,Venkataraman D",Journal,532-536,International Journal of Innovative Technology and Exploring Engineering,"Clouds and shadows pose severe problems in discernment of the scene and identification of objects in aerial photography. The changes in illumination,ensued by the presence of cloud and the shadow,aresome of the reasons that lead to ambiguity, while carrying out image segmentation leading to detection of targeted objects. Conventional methods are efficient in detecting thick clouds in contrastive background, but perform poorly in the perception of thin clouds, multiple clouds and their shadows. Reference images for the input are needed in most cases, and separate algorithms are pursued, to identify clouds and shadows in an image, which might not be feasible in all scenarios. Techniques used in this paperto detect cloud and shadows,obviating the need for reference images, are image enhancement, analysis of color histogram of input images, adoption of automatic thresholding and mathematical morphology on the input image. The proposed algorithm,was found to be fast,and experimented on various images that contained multiple white cloud clusters of different shapes, thickness and their shadows. The algorithmwas validated with an accuracy of 94.6% and 87.2% for identification of clouds and shadows, respectively.",8,Cloud and shadow identification from aerial images,Article,1,01-05-2019
3,3,"Parameswaran Namboodiri Sandhya,Venkataraman D",Journal,503-512,Indonesian Journal of Electrical Engineering and Computer Science,"Psychological problems in college students like depression, pessimism, eccentricity, anxiety etc. are caused principally due to the neglect of continuous monitoring of students psychological well-being. Identification of depression at college level is desirable so that it can be controlled by giving better counseling at the starting stage itself. If a counselor identifies depression in a student in the initial stages itself, he can effectively help that student to overcome depression. But among large number of students, it becomes a difficult task for the counselor to keep track of the significant changes that occur in students as a result of depression. But advances in the Image-Processing field have led to the development of effective systems, which prove capable of detecting emotions from facial images, in a much simpler way. Thus, we need an automated system that captures facial images of students and analyze them, for effective detection of depression. In the proposed system, an attempt is being made to make use of the Image processing techniques, to study the frontal face features of college students and predict depression. This system will be trained with facial features of positive and negative facial emotions. To predict depression, a video of the student is captured, from which the face of the student is extracted. Then using Gabor filters, the facial features are extracted. Classification of these facial features is done using SVM classifier. The level of depression is identified by calculating the amount of negative emotions present in the entire video. Based on the level of depression, notification is send to the class advisor, department counselor or university counselor, indicating the students disturbed mental state. The present system works with an accuracy of 64.38%. The paper concludes with the description of an extended architecture using other inputs like academic scores, social content, peer opinions and hostel activities to build a hybrid system for depression detection as future work.",14,A computer vision based image processing system for depression detection among students for counseling,Article,28,01-04-2019
4,4,"Venkataraman D,Mangayarkarasi N",Conference,793-798,2017 International Conference on Advances in Computing Communications and Informatics ICACCI 2017,"Nature has surrounded us with lot of plants having medicinal values. But most of the time, we don't realize the importance and benefits of the plant and we just ignore it. In other cases, though we know names of the plants with medicinal values, it becomes difficult to identify the plant even if it is naturally grown in our backyard. And hence, a system is developed which would provide a solution for this by identifying the plant and providing it's medicinal values, thereby helping in the cure of many ailments in a natural way. This paper discusses about the dataset collection, feature extraction using texture and HOG and thereby classifying based on Support Vector Machine algorithm.",2017,Support vector machine based classification of medicinal plants using leaf features,Conference Paper,11,30-11-2017
11,11,"Venkataraman D,Narasimhan Siddharth,Shankar N,Varun Sidharth S,Hari Prasath D",Book,177-191,Advances in Intelligent Systems and Computing,"India has a vast history of using plants as a source of medicines. This science is termed as Ayurveda. But, sadly somewhere in the race of keeping up with medicinal science and technology, India as a country has lost its track in the field of Ayurveda. Researchers and medicinal practitioners today, in spite of knowing that allopathic medicines are made using certain plant extracts, are oblivious about the medicinal the properties of plants. This paper aims at eradicating this problem, and hence strives to help potential users make better use of plants with medicinal properties. The dataset consists of 300 images of different types of leaves. The classification of the leaves is done with the help of a decision tree. Our system is an easy to use application which is fast in execution too. The objective of doing this paper is to develop an application for leaf recognition for retrieving the medicinal properties of plants. The recognition of leaves is done by extracting the features of the leaves from the images. The primary stakeholders involved with this project are researchers, medical practitioners and people with a keen interest in botany. We believe that this application will be an important part of the mentioned stakeholders daily lives. The primary purpose that this paper serves is to solve the problem of not knowing the useful properties of many plants.",530,Leaf recognition algorithm for retrieving medicinal information,Conference Paper,6,01-01-2016
12,12,"Venkataraman D,Nair Reshma B",Journal,1087-1093,International Journal of Control Theory and Applications,"Depression exists as one of the most common form of psychological disorder. It is seen in most of the individuals at some point of time in life. People who are depressed will feel sad, anxious, hopeless, sleepless etc. It creates an impact on both physical and mental health. The outcomes of depression can turn out to be severe if it is left untreated. It can lead an individual to risky behaviour such as drug or alcohol addiction. It can also ruin the relationships, affect the life in the work environment and also make it difficult for an individual to return back to the usual lifestyle. In this paper we provide a brief study on the data that is obtained from twitter and analyze whether the person is depressed or not.",9,An approach to identify the depressed people using tweets,Article,0,01-01-2016
13,13,"Gangothri V,Saranya S,Venkataraman D",Book,851-859,Advances in Intelligent Systems and Computing,"In our day-to-day life we tend to buy products on the Internet. There are plenty of consumer reviews on the Internet. If a customer wants to know about a product, he sees the review and rating of the product given by the product users. In this case we come to know about the importance of rating and review of the product which impacts the products market value. This article proposes a framework for calculating an accurate rating using customer feedback. In particular, we first take the consumer review as an input then remove all common words by using the information retrieval concepts like stop word removal and stemming. The next step is parts of speech tagging and finding the opinion word extraction to the rest of the phrases. Then we have to match the keywords with the ontology and finally we develop a probabilistic aspect ranking algorithm to rank the product. We see elaborately about our concept in this article.",397,Engender product ranking and recommendation using customer feedback,Conference Paper,5,01-01-2016
15,15,"Kecheril S Sajith,Venkataraman D,Suganthi J,Sujathan K",Journal,851-863,Signal Image and Video Processing,"Out of all various types of lung cancers, adenocarcinoma is increasing at an alarming rate mainly due to the increased rate of smoking. This work aims at developing a sputum cytology image analysis system which identifies benign and malignant glandular cells. In our proposed system, we develop an automated lung cancer detection system which segments the cell nuclei and classifies the glandular cells from the given sputum cytology image using a novel scale space catastrophe histogram (SSCH) feature. Catastrophe points occur when pairwise annihilation of extrema and saddle happens in scale space. Unusual nuclear texture shows the presence of malignancy in cells, and SSCH-based texture feature extraction from nuclear region is done. From the input high-resolution image, the cellular regions are localized using maximization of determinant of Hessian, nuclei regions are segmented using K-means clustering, and SSCH features are extracted and classified using support vector machine and color thresholding. The experimental results show that the proposed method obtained an accuracy of 87.53 % which is better than Gabor filter-based gray-level co-occurrence features, local binary pattern, and complex Daubechies wavelet-based features. The results obtained are in accordance with the dataset classified by medical experts.",9,Automated lung cancer detection by the analysis of glandular cells in sputum cytology images using scale space features,Article,7,01-05-2015
16,16,"Nair Reshma B,Venkataraman D",Journal,2053-2056,International Journal of Applied Engineering Research,"The food we consume highly depends on our culture, habitat, and geographical location. Some of the countries suffer from the lack of food and most of the people die out of hunger. In this paper we propose a system which is used to monitor the food analysis of certain countries through the data obtained from media and identify the reasons for scarcity of food and thereby suggest the required preventive measures. This paper also handles the identification of certain diseases caused by consuming food. Initially the data was generated by certain organizations and it was used by the public (consumers) whereas nowadays the growth and influence of various media has turned the consumers to data producers which ultimately led to the vast generation of data. The enormous amount of data available helps us to make better predictions for scarcity of food and to determine the diseases that can affect them.",10,"Big data initiative: Analyzing, estimating the scarcity of food and determining the diseases",Article,0,01-01-2015
